time,{tank1}.tank1.WaterTank1.inFlow,{tank1}.tank1.Tank1WaterLevel,{tank1}.tank1.Tank2WaterLevel,{tank1}.tank1.Tank2OutFlow,{tank1}.tank1.WaterTank2.I1.state,{tank2}.tank2.puddle,{tank2}.tank2.Tank3OutFlow,{tank2}.tank2.level,{controller}.controller.wt3_valve
40.35,0,2.972939898,2.918866826,0.483976752,48.39767524,8.108813292,1.509999201,1.077471398,TRUE
40.4,1,2.981813877,2.913980613,0.483232073,48.32320732,8.127405282,1.454064106,1.037558485,TRUE
40.45,1,3.010127772,2.916689326,0.483068934,48.3068934,8.153950983,1.37577208,0.981692616,TRUE
40.5,0,3.00191651,2.922228377,0.483944441,48.3944441,8.170812899,1.327107184,0.94696741,TRUE
40.55,0,2.97459176,2.920494064,0.484302849,48.43028485,8.19494852,1.259104416,0.898443518,FALSE
40.6,1,2.983459181,2.91560139,0.483556875,48.35568746,8.196252586,0,0.913617423,FALSE
40.65,1,3.011763288,2.918300462,0.483391803,48.33918033,8.196252586,0,0.942633322,FALSE
40.7,0,3.003545533,2.923833117,0.484266028,48.42660285,8.196252586,0,0.961969544,FALSE
40.75,0,2.976211092,2.922089256,0.484622523,48.46225228,8.196252586,0,0.991022592,FALSE
40.8,1,2.985072084,2.91719025,0.48387528,48.38752799,8.196252586,0,1.010406304,FALSE
40.85,1,3.013366596,2.919879869,0.483708314,48.37083143,8.196252586,0,1.039441312,FALSE
40.9,0,3.005142476,2.925406254,0.484581283,48.4581283,8.196252586,0,1.058790201,FALSE
40.95,0,2.977798535,2.923653035,0.484935902,48.49359018,8.196252586,0,1.087862168,FALSE
41,1,2.986653225,2.91874782,0.484187415,48.41874148,8.196252586,0,1.107258422,FALSE
41.05,1,3.01493833,2.921428173,0.484018592,48.40185923,8.196252586,0,1.136312162,FALSE
41.1,0,3.006707971,2.926948411,0.484890329,48.48903292,8.196252586,0,1.155673468,FALSE
41.15,0,2.979354716,2.925186018,0.48524311,48.52431095,8.196252586,0,1.184763982,FALSE
